2021-08-11 12:42:54,500: 's': 
2021-08-11 12:42:54,550: 'f': 
2021-08-11 12:42:54,667: 's': 
2021-08-11 12:42:54,701: 'f': 
2021-08-11 12:42:54,838: 'f': 
2021-08-11 12:42:54,946: 'd': 
2021-08-11 12:42:55,088: 'f': 
2021-08-11 12:42:57,268: 'k': 
2021-08-11 12:42:57,415: 'r': 
2021-08-11 12:42:57,473: 'a': 
2021-08-11 12:42:57,559: 'l': 
2021-08-11 12:42:57,642: 'j': 
2021-08-11 12:42:58,675: '1': 
2021-08-11 12:42:58,698: '2': 
2021-08-11 12:42:58,763: '3': 
2021-08-11 12:43:01,460: Key.ctrl: 
2021-08-11 12:43:01,652: 'c': 
2021-08-16 15:29:42,906: 'c': 
2021-08-16 15:29:42,993: 'm': 
2021-08-16 15:29:43,122: 'd': 
2021-08-16 15:29:43,230: 'o': 
2021-08-16 15:29:43,342: 'n': 
2021-08-16 15:29:43,535: Key.enter: 
2021-08-16 15:29:44,829: 'l': 
2021-08-16 15:29:44,887: 's': 
2021-08-16 15:29:45,032: Key.enter: 
2021-08-16 15:29:50,606: Key.alt: 
2021-08-16 15:29:50,655: Key.tab: 
2021-08-16 15:31:48,256: 'i': 
2021-08-16 15:31:48,731: 'f': 
2021-08-16 15:31:48,985: 'c': 
2021-08-16 15:31:49,052: 'o': 
2021-08-16 15:31:49,146: 'n': 
2021-08-16 15:31:49,235: 'f': 
2021-08-16 15:31:49,322: 'i': 
2021-08-16 15:31:49,401: 'g': 
2021-08-16 15:31:49,532: Key.enter: 
2021-08-16 15:31:50,468: 'l': 
2021-08-16 15:31:50,537: 's': 
2021-08-16 15:31:50,702: Key.enter: 
2021-08-16 15:31:55,608: Key.alt: 
2021-08-16 15:31:55,645: Key.tab: 
2021-08-16 15:31:56,542: 'e': 
2021-08-16 15:31:56,725: 'x': 
2021-08-16 15:31:56,872: 'i': 
2021-08-16 15:31:56,959: 't': 
2021-08-16 15:31:57,089: Key.enter: 
2021-08-16 15:31:58,921: 'e': 
2021-08-16 15:31:59,110: 'x': 
2021-08-16 15:31:59,304: 'i': 
2021-08-16 15:31:59,382: 't': 
2021-08-16 15:31:59,639: Key.enter: 
2021-08-16 15:32:06,559: Key.ctrl: 
2021-08-16 15:32:06,654: 'c': 
